node_id,layer,module,node_kind,index,token_position_role,published_label,source_key,importance
1.attn.v:1738,1,attn,v,1738,,,1.attn.v,0.8123925626277924
1.attn.resid_delta:130,1,attn,resid_delta,130,,,1.attn.resid_delta,0.23376359045505524
1.attn.resid_delta:698,1,attn,resid_delta,698,,,1.attn.resid_delta,0.5597828179597855
1.attn.resid_delta:775,1,attn,resid_delta,775,,,1.attn.resid_delta,0.429415558775266
1.attn.resid_delta:1133,1,attn,resid_delta,1133,,,1.attn.resid_delta,0.9842941661675771
1.attn.resid_delta:1643,1,attn,resid_delta,1643,,,1.attn.resid_delta,3.2040682633717856
1.mlp.act_in:1675,1,mlp,act_in,1675,,,1.mlp.act_in,1.0060778657595317
1.mlp.act_in:1711,1,mlp,act_in,1711,,,1.mlp.act_in,3.1794606844584146
1.mlp.post_act:5415,1,mlp,post_act,5415,,,1.mlp.post_act,3.620107968648275
1.mlp.resid_delta:124,1,mlp,resid_delta,124,,,1.mlp.resid_delta,1.531712293624878
1.mlp.resid_delta:728,1,mlp,resid_delta,728,,,1.mlp.resid_delta,0.7285186946392059
2.attn.act_in:124,2,attn,act_in,124,,,2.attn.act_in,2.7574825286865234
2.attn.act_in:549,2,attn,act_in,549,,,2.attn.act_in,0.2404214565952619
2.attn.act_in:581,2,attn,act_in,581,,,2.attn.act_in,0.24497566123803458
2.attn.act_in:728,2,attn,act_in,728,,,2.attn.act_in,0.8037251631418864
2.attn.act_in:759,2,attn,act_in,759,,,2.attn.act_in,3.1796074310938516
2.attn.act_in:771,2,attn,act_in,771,,,2.attn.act_in,0.23390310754378638
2.attn.act_in:775,2,attn,act_in,775,,,2.attn.act_in,0.4776226729154587
2.attn.act_in:785,2,attn,act_in,785,,,2.attn.act_in,0.2340272677441438
2.attn.act_in:826,2,attn,act_in,826,,,2.attn.act_in,1.5545802315076191
2.attn.act_in:1070,2,attn,act_in,1070,,,2.attn.act_in,0.24180152639746666
2.attn.act_in:1087,2,attn,act_in,1087,,,2.attn.act_in,0.23328895370165506
2.attn.act_in:1133,2,attn,act_in,1133,,,2.attn.act_in,2.496019800504049
2.attn.act_in:1141,2,attn,act_in,1141,,,2.attn.act_in,0.2366461381316185
2.attn.act_in:1430,2,attn,act_in,1430,,,2.attn.act_in,0.26147426789005596
2.attn.act_in:1643,2,attn,act_in,1643,,,2.attn.act_in,2.611902872721354
2.attn.act_in:1711,2,attn,act_in,1711,,,2.attn.act_in,1.6016645232836406
2.attn.act_in:1822,2,attn,act_in,1822,,,2.attn.act_in,0.227214394758145
2.attn.act_in:1850,2,attn,act_in,1850,,,2.attn.act_in,0.23918054128686586
2.attn.act_in:2020,2,attn,act_in,2020,,,2.attn.act_in,0.23723201577862105
2.attn.q:2007,2,attn,q,2007,,,2.attn.q,4.4389699300130205
2.attn.k:2007,2,attn,k,2007,,,2.attn.k,4.4389699300130205
2.attn.v:2012,2,attn,v,2012,,,2.attn.v,4.3727946281433105
2.attn.resid_delta:1249,2,attn,resid_delta,1249,,,2.attn.resid_delta,4.410148938496907
2.mlp.act_in:1249,2,mlp,act_in,1249,,,2.mlp.act_in,4.005899985631307
2.mlp.post_act:2122,2,mlp,post_act,2122,,,2.mlp.post_act,0.23201503728826842
2.mlp.post_act:5676,2,mlp,post_act,5676,,,2.mlp.post_act,3.6599255800247192
2.mlp.resid_delta:801,2,mlp,resid_delta,801,,,2.mlp.resid_delta,0.2320151006182035
2.mlp.resid_delta:1079,2,mlp,resid_delta,1079,,,2.mlp.resid_delta,0.25631852944691974
2.mlp.resid_delta:1850,2,mlp,resid_delta,1850,,,2.mlp.resid_delta,2.4272225896517434
3.attn.act_in:130,3,attn,act_in,130,,,3.attn.act_in,0.2353388840953509
3.attn.act_in:347,3,attn,act_in,347,,,3.attn.act_in,0.22795221209526062
3.attn.act_in:581,3,attn,act_in,581,,,3.attn.act_in,0.23837429160873094
3.attn.act_in:759,3,attn,act_in,759,,,3.attn.act_in,0.29076333592335385
3.attn.act_in:801,3,attn,act_in,801,,,3.attn.act_in,0.23203154156605402
3.attn.act_in:826,3,attn,act_in,826,,,3.attn.act_in,0.24224718660116196
3.attn.act_in:1249,3,attn,act_in,1249,,,3.attn.act_in,0.8295179903507233
3.attn.act_in:1643,3,attn,act_in,1643,,,3.attn.act_in,0.69097168246905
3.attn.act_in:1711,3,attn,act_in,1711,,,3.attn.act_in,0.21683559442559877
3.attn.act_in:1822,3,attn,act_in,1822,,,3.attn.act_in,0.2190582938492298
3.attn.act_in:1850,3,attn,act_in,1850,,,3.attn.act_in,2.537643611431122
3.attn.q:1363,3,attn,q,1363,,,3.attn.q,2.9535115559895835
3.attn.q:1386,3,attn,q,1386,,,3.attn.q,0.4214354455471039
3.attn.k:1363,3,attn,k,1363,,,3.attn.k,2.9535115559895835
3.attn.k:1386,3,attn,k,1386,,,3.attn.k,0.4214354455471039
3.attn.v:1365,3,attn,v,1365,,,3.attn.v,1.385261446237564
3.attn.v:1371,3,attn,v,1371,,,3.attn.v,0.99302872021993
3.attn.v:1385,3,attn,v,1385,,,3.attn.v,0.6133097509543101
3.attn.resid_delta:1079,3,attn,resid_delta,1079,,,3.attn.resid_delta,0.260181004802386
3.attn.resid_delta:1249,3,attn,resid_delta,1249,,,3.attn.resid_delta,2.4985150694847107
4.attn.act_in:1249,4,attn,act_in,1249,,,4.attn.act_in,4.329109350840251
4.attn.act_in:1675,4,attn,act_in,1675,,,4.attn.act_in,0.23227563748757044
4.attn.q:1284,4,attn,q,1284,,,4.attn.q,1.5232794086138408
4.attn.q:1292,4,attn,q,1292,,,4.attn.q,1.3810596863428752
4.attn.k:1284,4,attn,k,1284,,,4.attn.k,1.5232794086138408
4.attn.k:1292,4,attn,k,1292,,,4.attn.k,1.3810596863428752
4.attn.v:1294,4,attn,v,1294,,,4.attn.v,0.2305682860314846
4.attn.resid_delta:1079,4,attn,resid_delta,1079,,,4.attn.resid_delta,3.7279154459635415
4.attn.resid_delta:1339,4,attn,resid_delta,1339,,,4.attn.resid_delta,0.24258792152007422
4.attn.resid_delta:1974,4,attn,resid_delta,1974,,,4.attn.resid_delta,0.24316069980462393
7.mlp.act_in:1079,7,mlp,act_in,1079,,,7.mlp.act_in,3.1218138535817466
7.mlp.act_in:1249,7,mlp,act_in,1249,,,7.mlp.act_in,0.599555770556132
7.mlp.act_in:1974,7,mlp,act_in,1974,,,7.mlp.act_in,0.23738394553462663
7.mlp.post_act:1482,7,mlp,post_act,1482,,,7.mlp.post_act,0.24554619689782461
7.mlp.post_act:2199,7,mlp,post_act,2199,,,7.mlp.post_act,0.23618000000715256
7.mlp.post_act:2288,7,mlp,post_act,2288,,,7.mlp.post_act,0.23330756028493246
7.mlp.post_act:2511,7,mlp,post_act,2511,,,7.mlp.post_act,0.3341710517803828
7.mlp.post_act:3082,7,mlp,post_act,3082,,,7.mlp.post_act,0.24833790957927704
7.mlp.post_act:4133,7,mlp,post_act,4133,,,7.mlp.post_act,0.4557369152704875
7.mlp.post_act:6250,7,mlp,post_act,6250,,,7.mlp.post_act,0.2377189869681994
7.mlp.post_act:6323,7,mlp,post_act,6323,,,7.mlp.post_act,0.3081371436516444
7.mlp.post_act:6561,7,mlp,post_act,6561,,,7.mlp.post_act,0.2632983898123105
7.mlp.post_act:6720,7,mlp,post_act,6720,,,7.mlp.post_act,0.24794636045893034
7.mlp.post_act:7058,7,mlp,post_act,7058,,,7.mlp.post_act,0.26515739659468335
7.mlp.post_act:7618,7,mlp,post_act,7618,,,7.mlp.post_act,0.23070936153332391
7.mlp.resid_delta:431,7,mlp,resid_delta,431,,,7.mlp.resid_delta,1.4000813762346904
7.mlp.resid_delta:607,7,mlp,resid_delta,607,,,7.mlp.resid_delta,0.25455397367477417
7.mlp.resid_delta:648,7,mlp,resid_delta,648,,,7.mlp.resid_delta,0.28900205592314404
7.mlp.resid_delta:855,7,mlp,resid_delta,855,,,7.mlp.resid_delta,0.26287946105003357
7.mlp.resid_delta:1200,7,mlp,resid_delta,1200,,,7.mlp.resid_delta,0.4163213521242142
7.mlp.resid_delta:1339,7,mlp,resid_delta,1339,,,7.mlp.resid_delta,0.25243833288550377
7.mlp.resid_delta:2041,7,mlp,resid_delta,2041,,,7.mlp.resid_delta,0.27086805055538815
final_resid:431,,unknown,final_resid,431,,,final_resid,1.4766868948936462
final_resid:607,,unknown,final_resid,607,,,final_resid,0.25456833591063815
final_resid:648,,unknown,final_resid,648,,,final_resid,0.2892086406548818
final_resid:855,,unknown,final_resid,855,,,final_resid,0.262746920188268
final_resid:1079,,unknown,final_resid,1079,,,final_resid,0.3375098506609599
final_resid:1200,,unknown,final_resid,1200,,,final_resid,0.41631749272346497
final_resid:1339,,unknown,final_resid,1339,,,final_resid,0.3098953713973363
final_resid:2041,,unknown,final_resid,2041,,,final_resid,0.27097950875759125
